Section,Bridges,Aqueducts,Pumps,next turning back,Turning Points,next turning forward,Tunnels,Lock Status,Lockage,Latitude,Longitude,Boat Hires,Marina,Hire names,Marina names
32,1,0,0,1,0,8,0,0,0,51.40192653,-1.319670638,0,,,
31,2,0,0,2,1,9,0,0,0,51.40302955,-1.312256276,0,,,
"Lock 85, Newbury Lock",0,0,0,1,0,1,0,1,0,51.40220023,-1.301137094,0,,,
30,7,0,0,3,1,2,0,0,0,51.40265073,-1.306437973,2,100,Newbury Marina,Newbury Marina
"Lock 86, Greenham Lock",0,0,0,2,0,1,0,1,0,51.39994128,-1.292598806,0,,,
"Lock 87, Ham Lock",0,0,0,1,0,2,0,1,0,51.39714998,-1.285133279,0,,,
29,3,0,0,3,1,3,0,0,0,51.39601752,-1.28209783,0,100,,"Greenham lock marina, Newbury Boat Company"
28,4,0,0,2,0,1,0,0,0,51.39326515,-1.271354838,0,,,
"Lock 88, Bulls Lock",0,0,0,1,0,2,0,1,0,51.39294031,-1.259624698,0,,,
27,3,0,0,4,1,3,0,0,0,51.39261547,-1.247894558,0,,,
"Lock 89, Widmead Lock",0,0,0,3,0,1,0,1,0,51.39256853,-1.249269102,0,,,
26,0,0,0,2,0,2,0,0,0,51.39361185,-1.237707294,0,,,
"Lock 90, Monkey Marsh Lock",0,0,0,1,0,3,0,1,0,51.39365614,-1.226686862,0,,,
25,3,0,0,5,1,4,0,0,0,51.39339233,-1.223908676,0,,,
24,2,0,0,4,0,1,0,0,0,51.39281423,-1.21004408,0,,,
"Lock 91, Colthrop Lock",0,0,0,3,0,2,0,1,0,51.39288012,-1.210322317,0,,,
23,6,0,0,2,0,3,0,0,0,51.39331121,-1.193851166,0,,,
"Lock 92, Midgham Lock",0,0,0,1,0,4,0,1,0,51.39323486,-1.194424459,0,,,
22,1,0,0,2,1,5,0,0,0,51.39535335,-1.180175327,0,,,
"Lock 93, Heales Lock",0,0,0,1,0,1,0,1,0,51.39493341,-1.180050464,0,,,
21,2,0,0,8,1,2,0,0,0,51.39432982,-1.166397232,0,,,
"Lock 94, Woolhampton Lock",0,0,0,7,0,1,0,1,0,51.39577537,-1.152547148,0,,,
20,5,0,0,6,0,2,0,0,0,51.40003572,-1.139696286,0,,,
19,1,0,0,5,0,3,0,0,0,51.4006881,-1.130327518,0,,,
18,1,0,0,4,0,4,0,0,0,51.40019997,-1.137448573,0,160,,Frouds Bridge Marina
17,1,0,0,3,0,5,0,0,0,51.40045624,-1.13303204,0,,,
"Lock 96, Padworth Middle Lock",0,0,0,2,0,6,0,1,0,51.40779455,-1.124474124,0,,,
"Lock 95, Aldermaston Lock",0,0,0,1,0,7,0,1,0,51.40560061,-1.125243126,0,,,
16,1,0,0,6,1,8,0,0,0,51.41335571,-1.113289571,40,20,"ABC Boat Hire, Canal holidays.net, Reading Marine",Aldermaston Wharf
"Lock 97, Towney Lock",0,0,0,5,0,1,0,1,0,51.41334489,-1.112881286,0,,,
15,2,0,0,4,0,2,0,0,0,51.41853117,-1.1005824,0,,,
"Lock 98, Ufton Lock",0,0,0,3,0,3,0,1,0,51.41826831,-1.100938479,0,,,
14,2,0,0,2,0,4,0,0,0,51.42283744,-1.090951955,0,,,
"Lock 99, Tyle Mill Lock",0,0,0,1,0,5,0,1,0,51.424673,-1.084869881,0,,,
13,2,0,0,5,1,6,0,0,0,51.42598233,-1.074844144,0,,,
12,2,0,0,4,0,1,0,0,0,51.43089692,-1.068745227,0,,,
"Lock 100, Sulhamstead Lock",0,0,0,3,0,2,0,1,0,51.43077177,-1.067690007,0,,,
11,1,0,0,2,0,3,0,0,0,51.35760009,-1.631843652,0,,,
"Lock 101, Sheffield Lock",0,0,0,1,0,4,0,1,0,51.43193016,-1.058001176,0,,,
10,1,0,0,16,1,5,0,0,0,51.43381059,-1.053620747,0,,,
"Lock 102, Garston Lock",0,0,0,15,0,1,0,1,0,51.43415491,-1.049066496,0,,,
9,1,0,0,14,0,2,0,0,0,51.3574996,-1.628038722,0,,,
8,1,0,0,13,0,3,0,0,0,51.43318802,-1.032383864,0,,,
"Lock 103, Burghfield Lock",0,0,0,12,0,4,0,1,0,51.35864136,-1.624858017,0,,,
7,2,0,0,11,0,5,0,0,0,51.43266124,-1.0297997,0,,,
6,1,0,0,10,0,6,0,0,0,51.43198286,-1.02116082,0,,,
"Lock 104, Southcote Lock",0,0,0,9,0,7,0,1,0,51.43599079,-1.004529499,0,,,
5,3,0,0,8,0,8,0,0,0,51.43618595,-1.002149831,0,,,
"Lock 105, Fobney Lock",0,0,0,7,0,9,0,1,0,51.43444552,-0.98625942,0,,,
4,2,0,0,6,0,10,0,0,0,51.43496975,-0.991531607,0,,,
3,2,0,0,5,0,11,0,0,0,51.43577747,-0.97690565,0,,,
2,2,0,0,4,0,12,0,0,0,51.44354932,-0.974400111,0,,,
"Lock 106, County Lock",0,0,0,3,0,13,0,1,0,51.45114277,-0.973639128,0,,,
"Lock 107, Blakes Lock",0,0,0,2,0,14,0,1,0,51.45610187,-0.954543498,0,,,
1,4,0,0,1,0,15,0,0,0,51.45129772,-0.972180655,0,,,
0,0,0,0,1,1,1,0,0,0,,,0,446,,Thames and Kennet Marina
Out of System,0,0,0,1,1,1,0,0,0,,,0,,,
